Country,Biogas,Biomass,Coal Gases,Geothermal,Hard Coal,Heavy Fuel Oil,Hydro,Lignite,Natural Gas,Nuclear,Peat,Photovoltaics,Solar Thermal,Waste,Wind
Argentina,0.00,0.00,0.00,0.00,0.00,0.26,8.22,0.00,0.17,0.45,0.00,0.00,0.00,0.00,0.00
Australia,0.47,0.55,0.58,0.00,0.55,0.56,9.62,0.94,0.49,0.00,0.00,0.00,0.00,0.00,0.00
Austria,0.37,0.26,0.35,0.00,0.24,0.16,1.02,0.00,0.05,0.00,0.00,0.00,0.00,1.70,0.00
Belgium,0.10,0.36,0.32,0.00,0.39,0.12,3.15,0.00,0.11,0.50,0.00,0.00,0.00,1.70,0.00
Brazil,0.24,0.27,0.28,0.00,0.30,0.29,7.22,0.47,0.25,0.45,0.00,0.00,0.00,0.00,0.00
Bulgaria,0.41,0.29,0.00,0.00,0.33,0.12,6.48,0.48,0.06,0.52,0.00,0.00,0.00,0.00,0.00
Canada,0.24,0.36,0.00,0.00,0.27,0.24,3.53,0.29,0.16,0.36,0.00,0.00,0.00,1.51,0.00
Chile,0.00,0.11,0.00,0.00,0.28,0.25,8.35,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00
China,0.00,1.10,0.80,0.00,0.56,0.63,6.05,0.00,0.36,0.72,0.00,0.00,0.00,1.88,0.00
Cyprus,0.06,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Czech Republic,0.35,0.42,0.46,0.00,0.44,0.56,2.20,0.57,0.26,0.74,0.00,0.00,0.00,1.70,0.00
Denmark,0.14,0.06,0.00,0.00,0.26,0.44,0.00,0.00,0.08,0.00,0.00,0.00,0.00,1.70,0.00
Estonia,0.07,0.09,0.00,0.00,0.22,0.20,0.00,0.31,0.08,0.00,0.05,0.00,0.00,1.70,0.00
Finland,0.29,0.14,0.78,0.00,0.26,0.32,2.94,0.00,0.01,0.74,0.24,0.00,0.00,1.70,0.00
France,0.41,0.70,0.57,0.00,0.45,0.13,3.34,0.00,0.16,0.64,0.00,0.00,0.00,1.70,0.00
Germany,0.26,0.52,0.39,1.89,0.39,0.33,1.17,0.44,0.14,0.60,0.00,0.00,0.00,0.00,0.00
Great Britain,0.60,0.63,0.88,0.00,0.50,0.81,4.51,0.00,0.28,0.73,0.00,0.00,0.00,1.70,0.00
Greece,0.72,0.00,0.00,0.00,0.59,0.68,8.38,0.67,0.43,0.00,0.00,0.00,0.00,1.70,0.00
Hungary,0.26,0.46,0.30,0.00,0.10,0.21,0.00,0.32,0.07,0.35,0.00,0.00,0.00,1.70,0.00
